Jahr,QuarSort,QuarLang,AnzSterWir
1993,11,"Rathaus",31
1993,12,"Hochschulen",21
1993,13,"Lindenhof",6
1993,14,"City",11
1993,21,"Wollishofen",282
1993,23,"Leimbach",46
1993,24,"Enge",69
1993,31,"Alt-Wiedikon",142
1993,33,"Friesenberg",116
1993,34,"Sihlfeld",210
1993,41,"Werd",77
1993,42,"Langstrasse",128
1993,44,"Hard",148
1993,51,"Gewerbeschule",89
1993,52,"Escher Wyss",17
1993,61,"Unterstrass",242
1993,63,"Oberstrass",102
1993,71,"Fluntern",91
1993,72,"Hottingen",124
1993,73,"Hirslanden",93
1993,74,"Witikon",129
1993,81,"Seefeld",39
1993,82,"Mühlebach",52
1993,83,"Weinegg",76
1993,91,"Albisrieden",209
1993,92,"Altstetten",266
1993,101,"Höngg",240
1993,102,"Wipkingen",201
1993,111,"Affoltern",146
1993,115,"Oerlikon",155
1993,119,"Seebach",169
1993,121,"Saatlen",52
1993,122,"Schwamendingen-Mitte",120
1993,123,"Hirzenbach",149
1994,11,"Rathaus",25
1994,12,"Hochschulen",18
1994,13,"Lindenhof",12
1994,14,"City",5
1994,21,"Wollishofen",298
1994,23,"Leimbach",46
1994,24,"Enge",102
1994,31,"Alt-Wiedikon",158
1994,33,"Friesenberg",118
1994,34,"Sihlfeld",219
1994,41,"Werd",48
1994,42,"Langstrasse",136
1994,44,"Hard",163
1994,51,"Gewerbeschule",97
1994,52,"Escher Wyss",18
1994,61,"Unterstrass",237
1994,63,"Oberstrass",104
1994,71,"Fluntern",71
1994,72,"Hottingen",118
1994,73,"Hirslanden",130
1994,74,"Witikon",137
1994,81,"Seefeld",55
1994,82,"Mühlebach",62
1994,83,"Weinegg",84
1994,91,"Albisrieden",223
1994,92,"Altstetten",291
1994,101,"Höngg",245
1994,102,"Wipkingen",194
1994,111,"Affoltern",114
1994,115,"Oerlikon",192
1994,119,"Seebach",170
1994,121,"Saatlen",64
1994,122,"Schwamendingen-Mitte",96
1994,123,"Hirzenbach",137
1995,11,"Rathaus",28
1995,12,"Hochschulen",17
1995,13,"Lindenhof",7
1995,14,"City",11
1995,21,"Wollishofen",308
1995,23,"Leimbach",58
1995,24,"Enge",74
1995,31,"Alt-Wiedikon",130
1995,33,"Friesenberg",136
1995,34,"Sihlfeld",230
1995,41,"Werd",52
1995,42,"Langstrasse",122
1995,44,"Hard",176
1995,51,"Gewerbeschule",93
1995,52,"Escher Wyss",16
1995,61,"Unterstrass",221
1995,63,"Oberstrass",113
1995,71,"Fluntern",80
1995,72,"Hottingen",107
1995,73,"Hirslanden",121
1995,74,"Witikon",126
1995,81,"Seefeld",40
1995,82,"Mühlebach",65
1995,83,"Weinegg",118
1995,91,"Albisrieden",251
1995,92,"Altstetten",259
1995,101,"Höngg",231
1995,102,"Wipkingen",197
1995,111,"Affoltern",121
1995,115,"Oerlikon",179
1995,119,"Seebach",158
1995,121,"Saatlen",58
1995,122,"Schwamendingen-Mitte",111
1995,123,"Hirzenbach",154
1996,11,"Rathaus",29
1996,12,"Hochschulen",22
1996,13,"Lindenhof",5
1996,14,"City",10
1996,21,"Wollishofen",294
1996,23,"Leimbach",53
1996,24,"Enge",77
1996,31,"Alt-Wiedikon",124
1996,33,"Friesenberg",161
1996,34,"Sihlfeld",237
1996,41,"Werd",45
1996,42,"Langstrasse",134
1996,44,"Hard",148
1996,51,"Gewerbeschule",91
1996,52,"Escher Wyss",13
1996,61,"Unterstrass",206
1996,63,"Oberstrass",105
1996,71,"Fluntern",90
1996,72,"Hottingen",124
1996,73,"Hirslanden",123
1996,74,"Witikon",145
1996,81,"Seefeld",36
1996,82,"Mühlebach",69
1996,83,"Weinegg",88
1996,91,"Albisrieden",209
1996,92,"Altstetten",282
1996,101,"Höngg",226
1996,102,"Wipkingen",220
1996,111,"Affoltern",149
1996,115,"Oerlikon",154
1996,119,"Seebach",148
1996,121,"Saatlen",43
1996,122,"Schwamendingen-Mitte",96
1996,123,"Hirzenbach",149
1997,11,"Rathaus",19
1997,12,"Hochschulen",18
1997,13,"Lindenhof",11
1997,14,"City",8
1997,21,"Wollishofen",285
1997,23,"Leimbach",47
1997,24,"Enge",90
1997,31,"Alt-Wiedikon",132
1997,33,"Friesenberg",136
1997,34,"Sihlfeld",213
1997,41,"Werd",47
1997,42,"Langstrasse",118
1997,44,"Hard",115
1997,51,"Gewerbeschule",88
1997,52,"Escher Wyss",7
1997,61,"Unterstrass",208
1997,63,"Oberstrass",111
1997,71,"Fluntern",74
